CellID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
CellType	empty	empty	empty	empty	empty	empty	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	10 ILCP	10 ILCP	10 ILCP	10 ILCP	10 ILCP	10 ILCP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	empty	empty
Runx1	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.56598878	19.01191218	18.66532261	19.84558665	18.41580544	19.33632781	N.D.	N.D.	23.47648525	24.38654938	N.D.	N.D.	22.77234704	24.60975322	20.85459805	23.15057027	23.75437327	22.09891199	N.D.	N.D.	23.19540494	N.D.	22.55409521	N.D.	21.05701312	20.32130562	20.88597217	19.74737625	20.21101316	20.87185544	N.D.	N.D.	N.D.	N.D.	22.50174649	N.D.	25.94009775	26.96597399	N.D.	N.D.	N.D.	N.D.	24.73958925	22.99720402	23.47384988	22.01508287	24.22918341	24.59840203	22.4727631	N.D.	24.77261385	23.84683753	26.19241913	19.47256882	20.73660934	21.92622087	23.41077426	22.75811576	22.62086584	21.01483988	N.D.	20.86205886	N.D.	24.14774567	N.D.	21.92138879	23.15591646	24.77113039	19.12930002	21.84110385	23.74681731	24.81034005	23.80666321	25.81307446	22.14242324	N.D.	N.D.	N.D.	23.83361772	24.69712763	N.D.	N.D.	N.D.	N.D.
Tcf3	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	26.06799165	N.D.	22.64110345	16.9456265	17.01846947	17.2233854	18.28035878	18.1457842	16.98372434	N.D.	N.D.	N.D.	N.D.	21.98389227	N.D.	19.71272443	18.84924317	19.02237046	18.55260789	20.55324899	18.25175734	N.D.	N.D.	22.09931826	N.D.	N.D.	N.D.	17.35748361	18.1721435	16.94477156	17.43327446	17.99906695	18.02898387	N.D.	N.D.	N.D.	N.D.	22.55873171	N.D.	21.31820673	21.52715325	21.39063376	21.54942697	N.D.	20.17441112	21.36839972	22.23469178	21.21966594	20.70761219	N.D.	20.02421474	19.87833427	29.40846968	22.13027312	20.55837385	20.02367339	N.D.	21.7666518	19.99796926	N.D.	20.04064169	21.39047392	20.32871763	N.D.	21.40258871	22.07911641	21.79178368	21.07174167	19.14297828	21.09446306	N.D.	N.D.	19.66642254	N.D.	22.30781766	22.1326755	22.39579348	22.5270932	21.19306327	N.D.	29.82754259	22.19915063	21.99490839	N.D.	22.13972363	N.D.	N.D.
Tcf7	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	16.27083124	15.61059711	17.71074443	15.80180129	17.24621153	16.48472131	13.19889418	12.90104357	12.80563498	13.41829719	14.50895654	13.03181885	15.83635521	14.42300502	16.51668015	16.57438986	15.48686807	16.6827737	13.32173104	13.06418298	12.42935933	13.01242433	12.47420224	13.03625587	N.D.	15.78834523	15.13464253	16.76109195	16.8842298	18.11551846	15.18136922	14.01040212	14.46467844	16.76477687	14.85161516	16.05209138	18.41224567	16.99757173	17.14418766	15.26516421	17.76572699	16.43455416	15.90841785	16.1876187	17.21454867	17.21629828	17.61332104	16.85692554	N.D.	N.D.	15.36468045	16.17029597	N.D.	21.12266911	15.67182076	15.76698608	15.22120069	14.36333353	15.12714863	N.D.	15.36937532	15.52829419	22.18602464	16.47786299	16.34736568	20.38226635	16.87087533	N.D.	16.05634123	19.89783108	22.25241917	17.0626961	16.03066593	17.01455387	N.D.	15.91663488	N.D.	16.38540792	21.29440128	15.35059926	N.D.	21.04789373	17.54671055	27.84722214	N.D.	19.41305916	N.D.	19.23959344	N.D.	N.D.
Tbx21	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	16.93239341	19.5115335	16.36856422	15.38571173	17.02699302	16.54389142	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	19.59047483	N.D.	N.D.	N.D.	N.D.	18.88077263	N.D.	21.20802028	N.D.	N.D.	N.D.	N.D.	19.53265812	19.17926251	N.D.	N.D.	N.D.	17.35398641	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.88805886	N.D.	21.44721256	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	22.26674254	19.80314848	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.56704812	N.D.	N.D.	N.D.	N.D.	N.D.	20.73842656	N.D.	19.75418888	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
Gata3	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	21.52466936	N.D.	N.D.	N.D.	N.D.	N.D.	17.50621391	17.18867787	18.1267739	17.23229834	16.98801761	17.401935	N.D.	N.D.	N.D.	N.D.	21.33044289	N.D.	19.15572309	19.16829704	18.93213149	19.45218096	18.92552837	18.48497481	N.D.	N.D.	N.D.	N.D.	N.D.	21.53739886	19.00570772	20.01199212	18.94928388	N.D.	19.14149847	N.D.	N.D.	N.D.	N.D.	21.62823114	N.D.	N.D.	20.07237401	19.02334208	20.29860045	21.68362512	20.09438305	20.11143373	N.D.	N.D.	N.D.	21.62298861	N.D.	N.D.	20.02614538	20.52190553	21.5747126	19.81821775	20.76815492	N.D.	20.33782681	19.57540041	21.37597892	N.D.	21.34112091	N.D.	N.D.	N.D.	19.38982139	19.81013141	N.D.	N.D.	19.70867551	19.85180911	N.D.	20.44310421	N.D.	21.38934668	20.24163979	19.71802687	N.D.	19.95303274	21.76755005	N.D.	N.D.	N.D.	N.D.	19.63649225	N.D.	N.D.
Nfil3	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	21.71588854	N.D.	22.45173636	17.62449005	16.7989923	16.41955079	19.8989093	17.22952734	17.36290971	21.54180391	19.82203675	20.57220497	20.71761125	21.69156021	18.59099138	17.82861275	17.23859964	17.11096395	16.58153594	18.33093097	16.89696598	N.D.	N.D.	20.43037451	N.D.	N.D.	21.55592946	15.68720036	16.5991234	14.58508638	15.64115564	15.05276011	16.83903578	N.D.	N.D.	N.D.	21.69285996	N.D.	N.D.	N.D.	N.D.	21.88445874	21.80461729	N.D.	20.21950207	20.84694026	17.32159032	17.81972725	17.72958638	N.D.	N.D.	21.97414314	N.D.	20.0849957	18.58149562	N.D.	20.21816411	17.90260183	18.26395158	20.64457228	17.71165494	18.1355732	16.45108132	N.D.	N.D.	20.90596365	21.62545876	20.46657422	17.59605646	16.6438201	N.D.	20.69868055	17.94759865	22.30155828	N.D.	N.D.	21.48146545	22.0008782	20.67349095	N.D.	27.59696297	N.D.	16.66062603	N.D.	N.D.	N.D.	N.D.
Rora	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	18.66080334	20.57623199	19.94609278	21.13316221	18.95519959	21.83799526	14.86966916	15.64812552	14.72431651	14.47087639	14.8981739	14.45987743	19.27963043	19.34315805	19.8007955	24.95002949	21.41574723	20.52411888	15.87920868	16.076154	16.20721875	16.02057265	15.88639394	16.12348867	N.D.	19.97974279	N.D.	19.93587822	21.43644602	20.10692548	17.65640546	17.55645405	20.03897027	22.9109688	19.173673	17.21718986	21.6179846	17.70471473	21.24518437	18.2272793	19.86985941	18.6312413	18.12926332	16.93021932	18.34887265	19.30278011	17.03100924	19.13414016	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.54517156	16.73160681	19.23008869	18.49085195	17.47122233	20.49787503	N.D.	21.98681622	17.43584857	21.75629412	N.D.	N.D.	17.98812484	22.02182506	17.46231557	18.76633118	17.96332965	N.D.	N.D.	N.D.	20.39576646	N.D.	N.D.	N.D.	18.43555385	16.8907378	N.D.	16.89012234	18.093206	24.98936813	N.D.	N.D.	N.D.	17.60123496	N.D.	N.D.
Rorc	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.43599255	21.13462938	20.00232852	N.D.	21.54312584	21.15813192	19.59226724	18.99938371	18.91992893	20.04211411	20.87163652	20.08495549	19.97307066	19.67153529	20.94831512	20.28630411	19.49985221	19.75477226	16.83630553	16.79535505	16.47091073	17.47636863	17.25665425	16.48634379	N.D.	19.56636715	21.10961587	20.85866586	20.22933249	21.49483065	18.06062186	17.33213261	18.80692472	18.70731794	18.38927485	18.47110729	19.57669616	20.86377131	19.58488261	20.42156581	19.99833795	19.79509234	N.D.	N.D.	N.D.	20.05421243	22.88462619	N.D.	21.48884091	19.21316807	20.80086423	20.63667492	N.D.	21.47000367	N.D.	N.D.	20.20022032	19.34548378	N.D.	N.D.	21.30707211	21.63569914	N.D.	21.17223998	19.44759185	N.D.	20.07515639	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	22.60264217	N.D.	N.D.	N.D.	22.19020125	20.19205376	N.D.	N.D.	21.97617548	N.D.	N.D.	N.D.	N.D.
Id3	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	22.78074501	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	23.40635999	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	23.01053241	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
