CellID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
ChipID	S01	S02	S03	S04	S05	S06	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S43	S44	S45	S46	S47	S48
CellType	empty	empty	empty	empty	empty	empty	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	10 ILCP	10 ILCP	10 ILCP	10 ILCP	10 ILCP	10 ILCP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	empty	empty
Id2	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	21.58934231	19.38461244	20.07712548	20.55366116	19.06827495	22.70399682	15.61893682	17.69667673	15.65213172	15.94846826	16.74698005	14.95495779	21.36475324	19.44564354	19.93243457	19.36892247	19.70809572	20.12383312	16.12741146	15.40625472	15.85135048	16.26196652	17.04639603	15.61167818	N.D.	19.69663881	18.85827299	19.84704997	22.8126365	20.10891172	16.9100423	17.14098509	16.77361384	15.85001587	17.91826265	16.75279877	20.36976795	19.04720527	20.93939514	20.2773157	20.07925245	20.28696265	18.51803397	19.54839472	17.69748908	20.16523582	19.3063514	19.04105837	19.28172873	18.24822626	18.11517114	19.43076007	N.D.	21.56311938	19.25505614	19.25384619	17.96003458	18.6566686	18.21193706	N.D.	19.64456075	19.493416	20.28682563	20.18042148	18.75681617	21.80409841	18.53153588	24.85454293	18.13381394	19.82457344	18.66607288	21.00804624	19.89695334	N.D.	24.16076186	19.0534422	25.64799006	20.81193606	21.56732545	18.65389779	N.D.	19.22396854	18.27890595	N.D.	N.D.	19.96262397	20.65337939	21.23296748	N.D.	N.D.
Tox	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	17.44426048	16.06851547	18.56631922	19.21081294	17.02988877	17.4517308	12.86623608	12.42895145	12.49509704	12.76343939	13.70511661	12.3380078	16.21298546	14.73377066	16.68599078	17.94956411	17.71795864	16.60006554	13.46316394	13.11458364	12.2015462	12.41097905	13.33002834	12.78361087	N.D.	15.75720742	15.30226451	16.98359563	17.42333916	17.14393074	12.40023708	12.69213734	11.90705601	12.64717441	12.68305294	14.30814199	16.23976309	16.38680823	18.66885985	17.8724242	17.81583634	16.70398975	16.54367453	19.0250266	14.45641739	16.22586799	18.77436226	16.0090857	16.3659631	14.50317242	15.23140385	13.91736004	19.13732938	14.70727536	14.65469773	15.21909763	15.42458853	14.68553083	14.08159336	N.D.	17.34405539	13.77235266	17.322514	16.20112388	15.29967026	16.11243654	16.63770565	N.D.	15.34220201	18.19166985	19.26359748	16.44236629	17.60058892	17.90733821	N.D.	15.73551653	N.D.	17.54351263	19.34025084	14.7923752	N.D.	19.53355701	16.64898194	25.03386328	N.D.	16.10530461	21.55667486	20.27165391	N.D.	N.D.
Cbfb	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	17.9679248	17.55638301	16.98034357	18.9212873	18.80792657	20.91561971	13.02349487	12.43708281	12.90498499	12.8292783	12.76091948	12.73780992	17.15744345	16.90654617	17.57284579	18.86373441	17.5940306	16.71254062	15.021706	13.36345501	13.83989422	13.95953177	14.95506069	13.99860994	N.D.	19.58989238	N.D.	17.90862298	17.47209471	17.21025631	13.05236481	13.22191649	12.47963604	12.83776937	13.13470557	13.95004807	18.51481159	16.56268246	16.75369267	N.D.	18.01932279	18.35692234	16.94434525	17.22544341	15.29798218	16.23245769	17.57658832	17.36504879	15.96559282	16.26155645	15.68572112	16.40418556	16.20588013	16.02754935	17.08104843	17.31079399	17.75476655	16.94027514	16.19254553	16.66249035	18.81824291	16.23155836	18.20689412	15.92182872	17.59656208	16.61322088	17.29542217	16.70592491	17.85422131	17.06465715	18.43758014	16.36601342	15.91246918	N.D.	16.67006939	16.87358975	19.20556315	17.35786084	17.94229507	17.64739477	17.27357829	17.21013782	16.99291763	N.D.	18.23049162	15.33380725	N.D.	18.84653677	N.D.	N.D.
Pax5	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	19.11440143	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	18.59949298	N.D.	N.D.	N.D.	N.D.	N.D.
Ebf1	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
Notch1	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	18.79257007	19.08185526	20.38760191	18.48464141	20.08975623	N.D.	16.11647087	16.12360836	16.0357286	16.03570623	16.11131197	16.8834392	N.D.	N.D.	20.69985915	N.D.	N.D.	N.D.	17.37056667	17.82346192	17.73989054	18.01116523	17.82789748	17.40278305	N.D.	20.19260546	N.D.	N.D.	N.D.	20.37050231	15.76289142	17.0925793	15.50210049	15.84677254	15.11180306	15.09918905	19.20111727	18.75398577	20.63657286	N.D.	20.19524808	19.01292393	21.84046424	N.D.	N.D.	18.87479324	N.D.	19.84074678	20.30844053	19.50430535	20.69098747	N.D.	17.2571741	18.76717692	20.55516735	N.D.	20.17230551	19.27912289	N.D.	19.1673286	20.53452772	20.25757907	N.D.	20.2728668	N.D.	N.D.	18.31021009	19.5537868	N.D.	N.D.	17.86760413	N.D.	20.29226061	15.73445773	20.42571462	N.D.	19.17996559	19.62214737	20.40114325	N.D.	19.35780607	N.D.	19.50924733	N.D.	21.6628536	20.81699807	N.D.	N.D.	N.D.	N.D.
Notch2	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	18.9551483	18.41160999	17.36630793	18.25347316	16.73335018	17.44007027	12.89935473	12.55989869	12.75375341	12.69166862	13.18833886	12.80270773	18.35173981	17.62997657	17.82364721	17.31573789	18.94979061	18.36920789	14.18056844	13.91848794	14.25666716	13.93732192	14.98651207	13.90385322	N.D.	17.33328372	16.68729076	18.98615253	17.20937344	18.76110427	13.3122849	13.86609144	12.84754728	13.03086619	13.52205573	13.96613311	18.71353544	16.63846626	18.25536119	18.66794027	18.59695428	18.60813373	16.59959686	16.89136865	15.50306796	18.35872676	17.94563559	15.86947711	15.24048418	15.18216282	15.59902854	16.16050871	17.32845251	16.1761551	16.0900242	15.71351932	15.84903017	17.11457619	18.88499443	15.28201309	17.64186226	16.09747652	17.33574161	17.25827655	16.74684854	16.10970311	17.87127949	15.65729052	16.0671262	16.31565468	16.40403837	17.56264357	16.27332831	20.20247939	15.92380504	17.79274406	16.29378376	16.73578825	17.60219606	16.82752639	17.39051554	17.06991324	16.69569656	22.54094808	17.62419904	16.84813397	16.90178992	17.51334125	N.D.	N.D.
Dtx1	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	17.45329366	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	19.41195486	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
