CellID	1	2	3	4	5	6	13	14	15	16	17	18	25	26	27	28	29	30	37	38	39	40	41	42	49	50	51	52	53	54	61	62	63	64	65	66	73	74	75	76	77	78	85	86	87	88	89	90
CellType	empty	empty	empty	empty	empty	empty	10 ILCP	10 ILCP	10 ILCP	10 ILCP	10 ILCP	10 ILCP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP
Id2	NA	NA	NA	NA	NA	NA	15.61893682	17.69667673	15.65213172	15.94846826	16.74698005	14.95495779	16.12741146	15.40625472	15.85135048	16.26196652	17.04639603	15.61167818	16.9100423	17.14098509	16.77361384	15.85001587	17.91826265	16.75279877	18.51803397	19.54839472	17.69748908	20.16523582	19.3063514	19.04105837	19.25505614	19.25384619	17.96003458	18.6566686	18.21193706	NA	18.53153588	24.85454293	18.13381394	19.82457344	18.66607288	21.00804624	21.56732545	18.65389779	NA	19.22396854	18.27890595	NA
Tox	NA	NA	NA	NA	NA	NA	12.86623608	12.42895145	12.49509704	12.76343939	13.70511661	12.3380078	13.46316394	13.11458364	12.2015462	12.41097905	13.33002834	12.78361087	12.40023708	12.69213734	11.90705601	12.64717441	12.68305294	14.30814199	16.54367453	19.0250266	14.45641739	16.22586799	18.77436226	16.0090857	14.65469773	15.21909763	15.42458853	14.68553083	14.08159336	NA	16.63770565	NA	15.34220201	18.19166985	19.26359748	16.44236629	19.34025084	14.7923752	NA	19.53355701	16.64898194	25.03386328
Cbfb	NA	NA	NA	NA	NA	NA	13.02349487	12.43708281	12.90498499	12.8292783	12.76091948	12.73780992	15.021706	13.36345501	13.83989422	13.95953177	14.95506069	13.99860994	13.05236481	13.22191649	12.47963604	12.83776937	13.13470557	13.95004807	16.94434525	17.22544341	15.29798218	16.23245769	17.57658832	17.36504879	17.08104843	17.31079399	17.75476655	16.94027514	16.19254553	16.66249035	17.29542217	16.70592491	17.85422131	17.06465715	18.43758014	16.36601342	17.94229507	17.64739477	17.27357829	17.21013782	16.99291763	NA
Pax5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.11440143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ebf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Notch1	NA	NA	NA	NA	NA	NA	16.11647087	16.12360836	16.0357286	16.03570623	16.11131197	16.8834392	17.37056667	17.82346192	17.73989054	18.01116523	17.82789748	17.40278305	15.76289142	17.0925793	15.50210049	15.84677254	15.11180306	15.09918905	21.84046424	NA	NA	18.87479324	NA	19.84074678	20.55516735	NA	20.17230551	19.27912289	NA	19.1673286	18.31021009	19.5537868	NA	NA	17.86760413	NA	20.40114325	NA	19.35780607	NA	19.50924733	NA
Notch2	NA	NA	NA	NA	NA	NA	12.89935473	12.55989869	12.75375341	12.69166862	13.18833886	12.80270773	14.18056844	13.91848794	14.25666716	13.93732192	14.98651207	13.90385322	13.3122849	13.86609144	12.84754728	13.03086619	13.52205573	13.96613311	16.59959686	16.89136865	15.50306796	18.35872676	17.94563559	15.86947711	16.0900242	15.71351932	15.84903017	17.11457619	18.88499443	15.28201309	17.87127949	15.65729052	16.0671262	16.31565468	16.40403837	17.56264357	17.60219606	16.82752639	17.39051554	17.06991324	16.69569656	22.54094808
Dtx1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.45329366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Il-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.91078546	NA	NA	NA	24.15564215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lta	NA	NA	NA	NA	NA	NA	12.70221191	16.88817755	11.65225055	16.2401178	17.76324355	14.86962997	9.213477987	9.466251149	10.85563704	10.56597626	9.765430721	11.53528446	17.05762623	17.46936832	20.86935416	NA	NA	11.38714602	18.48208916	NA	NA	16.18400523	NA	NA	NA	19.43998407	19.25143074	19.35980588	NA	NA	16.28413708	NA	19.51104106	NA	26.25470296	NA	NA	NA	NA	27.41590153	NA	NA
Rank	NA	NA	NA	NA	NA	NA	18.24059705	NA	NA	NA	NA	17.53476721	16.39598582	16.2311953	15.76514555	17.69414555	16.08985788	16.26109653	18.19671265	NA	19.48538826	19.91269617	NA	19.3474514	19.72273905	NA	NA	19.71106671	NA	NA	NA	NA	19.26974408	19.41500813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glis3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.1999103	18.0656109	NA	NA	NA	NA	16.11467201	19.79764744	18.91194826	17.54091227	20.40436549	16.01449546	NA	NA	NA	NA	NA	20.44915942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
H19	NA	NA	NA	NA	NA	NA	13.16405939	15.49391921	13.29665581	12.81330097	14.50473738	12.79079707	NA	16.50624114	17.77978382	16.68002719	19.87561067	19.50353913	16.2477504	18.28799085	16.7968868	14.99890646	15.89489429	NA	15.27057719	17.92483403	16.37304796	NA	16.69749864	19.9309461	18.01751829	14.13649221	NA	17.2393136	19.6177174	NA	19.70882613	NA	14.34008789	NA	19.67443078	18.65169032	NA	13.73869704	NA	19.43654206	18.74090004	23.11349219
